,System_ID,log-gamma,T,Solvent_SMILES,Solute_SMILES,T_str,Rare_species,Rare_solvent_solute,key_class,GH-GNN,Same_key_class_n,Similarity_max,Similarity_max_10,Similarity_max_30,Similarity_max_50,Similarity_max_100
0,C(CCCCCCC#N)CCCCCC#N_CC#N_100.6,-0.29,100.6,C(CCCCCCC#N)CCCCCC#N,CC#N,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organonitrogen compounds,-0.3979146182537079,17,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
1,C(CCCCCCC#N)CCCCCC#N_CC#N_70.95,-0.16,70.95,C(CCCCCCC#N)CCCCCC#N,CC#N,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organonitrogen compounds,-0.3770352900028229,17,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
2,C(CCCCCCC#N)CCCCCC#N_CC#N_85.4,-0.22,85.4,C(CCCCCCC#N)CCCCCC#N,CC#N,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organonitrogen compounds,-0.3876422643661499,17,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
3,C(CCCCCCC#N)CCCCCC#N_CC(C)=O_100.6,-0.25,100.6,C(CCCCCCC#N)CCCCCC#N,CC(C)=O,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,-0.3614140748977661,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
4,C(CCCCCCC#N)CCCCCC#N_CC(C)=O_70.95,-0.21,70.95,C(CCCCCCC#N)CCCCCC#N,CC(C)=O,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,-0.2806546688079834,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
5,C(CCCCCCC#N)CCCCCC#N_CC(C)=O_85.4,-0.22,85.4,C(CCCCCCC#N)CCCCCC#N,CC(C)=O,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,-0.3216814994812011,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
6,C(CCCCCCC#N)CCCCCC#N_CCC#N_100.6,-0.26,100.6,C(CCCCCCC#N)CCCCCC#N,CCC#N,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organonitrogen compounds,-0.2676447927951813,17,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
7,C(CCCCCCC#N)CCCCCC#N_CCC#N_70.95,-0.14,70.95,C(CCCCCCC#N)CCCCCC#N,CCC#N,70.95,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organonitrogen compounds,-0.3000087440013885,17,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
8,C(CCCCCCC#N)CCCCCC#N_CCC#N_85.4,-0.19,85.4,C(CCCCCCC#N)CCCCCC#N,CCC#N,85.4,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organonitrogen compounds,-0.2835674285888672,17,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
9,C(CCCCCCC#N)CCCCCC#N_CCC(C)=O_100.6,-0.19,100.6,C(CCCCCCC#N)CCCCCC#N,CCC(C)=O,100.6,N#CCCCCCCCCCCCCC#N,Solvent,Organonitrogen compounds_Organooxygen compounds,-0.2481341958045959,70,1.0,0.7333333333333333,0.5,0.36585365853658536,0.3333333333333333
